ip_code,series,card_number,parallel_ext,card_name_jp,card_name_cn,rarity,color,type,energy_required,ap,bp,bp_pm,affinity,energy_generated_raw,effect_jp,effect_cn,trigger
MST,UA54BT,MST-1-001,,エリス,艾莉絲,C,Blue,Character,0,1,1500,,,B,,,get
MST,UA54BT,MST-1-002,,エリス,艾莉絲,U,Blue,Character,0,1,2000,,,B,,,active
MST,UA54BT,MST-1-003,,エリス,艾莉絲,U,Blue,Character,1,1,2000,plus,,B,自分の場に〈ルーデウス〉と〈ルイジェルド〉がある場合、このキャラはBP+1000。,,draw
MST,UA54BT,MST-1-004,,エリス,艾莉絲,U,Blue,Character,2,1,3000,,,B,【登場時】このキャラが自分の効果で登場していた場合、このキャラをアクティブにする。,,
MST,UA54BT,MST-1-005,,エリス,艾莉絲,R,Blue,Character,2,1,2500,plus,,B,自分の場にカードが1枚もない場合、手札にあるこのカードの必要エナジーを●キ青×2●減らす。<br>▼インパクト無効▼（このキャラとバトルをしたキャラはこのバトル中、インパクトを失う）<br>【自分のターン中】このターン中に自分の効果でキャラカードを〔登場させるかレイドさせている〕場合、このキャラはBP+500。,,
MST,UA54BT,MST-1-006,,エリス,艾莉絲,R,Blue,Character,3,1,2500,,,BB,【登場時】APを1支払ってもよい。そうした場合、カードを1枚引き、自分の手札から必要エナジーが3以下で消費APが1の青の〔〈ルーデウス〉か〈エリス〉か〈ルイジェルド〉〕を1枚まで自分の場にレストで登場させるかレイドさせる。,,color_blue
MST,UA54BT,MST-1-007,,エリス,艾莉絲,SR,Blue,Character,1,1,2000,,,B,"【登場時】以下から1つ選ぶ。<br>・カードを1枚引き、自分の手札を1枚場外に置く。<br>・このキャラが自分の効果で登場していた場合、自分の手札から必要エナジーが3以下で消費APが1の青の〔〈ルーデウス〉か〈エリス〉か〈ルイジェルド〉〕を1枚まで自分の場にレストで登場させるかレイドさせる。〈エリス〉のこの効果は1ターンに1回のみ選べる。",,
MST,UA54BT,MST-1-008,,エリス,艾莉絲,SR,Blue,Character,3,1,3000,plus,,B,■レイド■〈エリス〉アクティブにし、フロントLに移動できる<br>このキャラのアタックがブロックされなかった時、カードを1枚まで引く。<br>▲ターン１▲このキャラがアタックしてバトルに敗北した時、このキャラをアクティブにし、このキャラはこのターン中、BP+2000。,,raid
MST,UA54BT,MST-1-009,,エリス,艾莉絲,SR,Blue,Character,3,1,3500,plus,,B,"レイド〈エリス〉アクティブにし、フロントLに移動できる<br>インパクト（1）（アタックしてバトルに勝利した時、相手に1ダメージ）<br>自分のターン中このキャラはBP+500。<br>登場時このキャラが自分の効果で登場していた場合、以下から1つ選ぶ。<br>・このキャラは次の自分のターン開始時まで、BP+1000。<br>・このキャラはこのターン中、「このキャラのアタック終了時、自分のエナジーLのキャラを1枚選び、このキャラと位置を入れ替えてもよい。」を得る。",,raid
MST,UA54BT,MST-1-010,,キシリカ・キシリス,奇希莉卡・奇希里斯,U,Blue,Character,3,1,3000,,,BB,【登場時】自分の山札の上から3枚見て、望む順で山札の上に置く。自分の山札の上から3枚見て、望む順で山札の上に置く。,,
MST,UA54BT,MST-1-011,,ギレーヌ,,,Blue,Character,,,,,,,,,
MST,UA54BT,MST-1-012,,シルフィエット,,,Blue,Character,,,,,,,,,
MST,UA54BT,MST-1-013,,シルフィエット,,,Blue,Character,,,,,,,,,
MST,UA54BT,MST-1-014,,シルフィエット,,,Blue,Character,,,,,,,,,
MST,UA54BT,MST-1-015,,聖獣,,,Blue,Character,,,,,,,,,
MST,UA54BT,MST-1-016,,ゼニス,,,Blue,Character,,,,,,,,,
MST,UA54BT,MST-1-017,,ノルン＆アイシャ,,,Blue,Character,,,,,,,,,
MST,UA54BT,MST-1-018,,パウロ,,,Blue,Character,,,,,,,,,
MST,UA54BT,MST-1-019,,リーリャ,,,Blue,Character,,,,,,,,,
MST,UA54BT,MST-1-020,,ルイジェルド,,R,Blue,Character,4,2,,,,,,,
MST,UA54BT,MST-1-021,,ルーデウス,魯迪烏斯,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-022,,ルーデウス,魯迪烏斯,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-023,,ルーデウス,魯迪烏斯,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-024,,ルーデウス,魯迪烏斯,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-025,,ルーデウス,魯迪烏斯,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-026,,ルーデウス,魯迪烏斯,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-027,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-028,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-029,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-030,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-031,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-032,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-033,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-034,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-035,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-036,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-037,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-038,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-039,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-040,,,,,Blue,,,,,,,,,,
MST,UA54BT,MST-1-041,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-042,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-043,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-044,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-045,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-046,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-047,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-048,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-049,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-050,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-051,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-052,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-053,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-054,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-055,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-056,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-057,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-058,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-059,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-060,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-061,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-062,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-063,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-064,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-065,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-066,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-067,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-068,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-069,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-070,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-071,,,,,Green,,,,,,,,,,
