ip_code,card_number,parallel_ext,card_name_jp,card_name_cn,rarity,color,type,energy_required,ap,bp,bp_pm,affinity,energy_generated_raw,effect_jp,effect_cn,trigger
MST,MST-1-001,,エリス,艾莉絲,C,Blue,Character,0,1,1500,,,B,,,get
MST,MST-1-002,,エリス,艾莉絲,U,Blue,Character,0,1,2000,,,B,自分の場に〈ルーデウス〉と〈ルイジェルド〉がある場合、このキャラはBP+1000。,這是一段較長效果文字的示例。右側面板會完整顯示，不會影響中間卡圖列表的固定高度。,draw
MST,MST-1-003,,エリス,艾莉絲,U,Blue,Character,1,1,2000,plus,,B,【登場時】このキャラが自分の効果で登場していた場合、このキャラをアクティブにする。,事件卡示例。可以用於測試 R+ 的能量過濾。,special
MST,MST-1-004,,エリス,艾莉絲,U,Blue,Character,2,1,3000,,,B,,,
MST,MST-1-005,,エリス,艾莉絲,R,Blue,Character,2,1,2500,plus,,B,,,
MST,MST-1-006,,エリス,艾莉絲,R,Blue,Character,3,1,2500,,,BB,,,
MST,MST-1-007,,エリス,艾莉絲,SR,Blue,Character,1,1,2000,,,B,,,
MST,MST-1-008,,エリス,艾莉絲,SR,Blue,Character,3,1,3000,plus,,B,,,
MST,MST-1-009,,エリス,艾莉絲,SR,Blue,Character,3,1,3500,plus,,B,,,
MST,MST-1-010,,キシリカ・キシリス,,,Blue,Character,,,,,,,,,
MST,MST-1-011,,ギレーヌ,,,Blue,Character,,,,,,,,,
MST,MST-1-012,,シルフィエット,,,Blue,Character,,,,,,,,,
MST,MST-1-013,,シルフィエット,,,Blue,Character,,,,,,,,,
MST,MST-1-014,,シルフィエット,,,Blue,Character,,,,,,,,,
MST,MST-1-015,,聖獣,,,Blue,Character,,,,,,,,,
MST,MST-1-016,,ゼニス,,,Blue,Character,,,,,,,,,
MST,MST-1-017,,ノルン＆アイシャ,,,Blue,Character,,,,,,,,,
MST,MST-1-018,,パウロ,,,Blue,Character,,,,,,,,,
MST,MST-1-019,,リーリャ,,,Blue,Character,,,,,,,,,
MST,MST-1-020,,ルイジェルド,,R,Blue,Character,4,2,,,,,,,
MST,MST-1-021,,ルーデウス,,,Blue,,,,,,,,,,
MST,MST-1-022,,ルーデウス,,,Blue,,,,,,,,,,
MST,MST-1-023,,ルーデウス,,,Blue,,,,,,,,,,
MST,MST-1-024,,ルーデウス,,,Blue,,,,,,,,,,
MST,MST-1-025,,ルーデウス,,,Blue,,,,,,,,,,
MST,MST-1-026,,ルーデウス,,,Blue,,,,,,,,,,
MST,MST-1-027,,,,,Blue,,,,,,,,,,
MST,MST-1-028,,,,,Blue,,,,,,,,,,
MST,MST-1-029,,,,,Blue,,,,,,,,,,
MST,MST-1-030,,,,,Blue,,,,,,,,,,
MST,MST-1-031,,,,,Blue,,,,,,,,,,
MST,MST-1-032,,,,,Blue,,,,,,,,,,
MST,MST-1-033,,,,,Blue,,,,,,,,,,
MST,MST-1-034,,,,,Blue,,,,,,,,,,
MST,MST-1-035,,,,,Blue,,,,,,,,,,
MST,MST-1-036,,,,,Blue,,,,,,,,,,
MST,MST-1-037,,,,,Blue,,,,,,,,,,
MST,MST-1-038,,,,,Blue,,,,,,,,,,
MST,MST-1-039,,,,,Blue,,,,,,,,,,
MST,MST-1-040,,,,,Blue,,,,,,,,,,
MST,MST-1-041,,,,,Green,,,,,,,,,,
MST,MST-1-042,,,,,Green,,,,,,,,,,
MST,MST-1-043,,,,,Green,,,,,,,,,,
MST,MST-1-044,,,,,Green,,,,,,,,,,
MST,MST-1-045,,,,,Green,,,,,,,,,,
MST,MST-1-046,,,,,Green,,,,,,,,,,
MST,MST-1-047,,,,,Green,,,,,,,,,,
MST,MST-1-048,,,,,Green,,,,,,,,,,
MST,MST-1-049,,,,,Green,,,,,,,,,,
MST,MST-1-050,,,,,Green,,,,,,,,,,
MST,MST-1-051,,,,,Green,,,,,,,,,,
MST,MST-1-052,,,,,Green,,,,,,,,,,
MST,MST-1-053,,,,,Green,,,,,,,,,,
MST,MST-1-054,,,,,Green,,,,,,,,,,
MST,MST-1-055,,,,,Green,,,,,,,,,,
MST,MST-1-056,,,,,Green,,,,,,,,,,
MST,MST-1-057,,,,,Green,,,,,,,,,,
MST,MST-1-058,,,,,Green,,,,,,,,,,
MST,MST-1-059,,,,,Green,,,,,,,,,,
MST,MST-1-060,,,,,Green,,,,,,,,,,
MST,MST-1-061,,,,,Green,,,,,,,,,,
MST,MST-1-062,,,,,Green,,,,,,,,,,
MST,MST-1-063,,,,,Green,,,,,,,,,,
MST,MST-1-064,,,,,Green,,,,,,,,,,
MST,MST-1-065,,,,,Green,,,,,,,,,,
MST,MST-1-066,,,,,Green,,,,,,,,,,
MST,MST-1-067,,,,,Green,,,,,,,,,,
MST,MST-1-068,,,,,Green,,,,,,,,,,
MST,MST-1-069,,,,,Green,,,,,,,,,,
MST,MST-1-070,,,,,Green,,,,,,,,,,
MST,MST-1-071,,,,,Green,,,,,,,,,,
MST,MST-1-072,,,,,Green,,,,,,,,,,
MST,MST-1-073,,,,,Green,,,,,,,,,,
MST,MST-1-074,,,,,Green,,,,,,,,,,
MST,MST-1-075,,,,,Green,,,,,,,,,,
MST,MST-1-076,,,,,Green,,,,,,,,,,
MST,MST-1-077,,,,,Green,,,,,,,,,,
MST,MST-1-078,,,,,Green,,,,,,,,,,
MST,MST-1-079,,,,,Green,,,,,,,,,,
MST,MST-1-080,,,,,Green,,,,,,,,,,
,,,,,,,,,,,,,,,,
